sentenca,polaridade
fonte,negativo
AdoroCinema,positivo
AdoroCinema,positivo
AdoroCinema,negativo
AdoroCinema,positivo
AdoroCinema,positivo
AdoroCinema,positivo
AdoroCinema,neutro
AdoroCinema,neutro
AdoroCinema,neutro
AdoroCinema,neutro
AdoroCinema,positivo
AdoroCinema,positivo
AdoroCinema,neutro
AdoroCinema,negativo
AdoroCinema,positivo
AdoroCinema,neutro
AdoroCinema,neutro
AdoroCinema,negativo
AdoroCinema,negativo
AdoroCinema,positivo
AdoroCinema,positivo
AdoroCinema,neutro
AdoroCinema,positivo
AdoroCinema,negativo
AdoroCinema,negativo
AdoroCinema,neutro
AdoroCinema,neutro
Omelete,negativo
Omelete,positivo
Omelete,negativo
Omelete,negativo
Omelete,positivo
Omelete,neutro
Omelete,neutro
Omelete,positivo
Omelete,neutro
Omelete,neutro
Omelete,negativo
Omelete,positivo
Omelete,negativo
Omelete,neutro
Omelete,positivo
Omelete,neutro
Omelete,negativo
Omelete,neutro
Omelete,neutro
Omelete,positivo
PlanoCritico,positivo
PlanoCritico,negativo
PlanoCritico,neutro
PlanoCritico,negativo
PlanoCritico,neutro
PlanoCritico,positivo
PlanoCritico,negativo
PlanoCritico,positivo
PlanoCritico,positivo
PlanoCritico,negativo
PlanoCritico,neutro
PlanoCritico,negativo
PlanoCritico,positivo
PlanoCritico,positivo
PlanoCritico,negativo
PlanoCritico,positivo
PlanoCritico,negativo
PlanoCritico,neutro
PlanoCritico,neutro
PlanoCritico,neutro
PlanoCritico,positivo
PlanoCritico,negativo
PlanoCritico,negativo
PlanoCritico,negativo
PlanoCritico,negativo
PlanoCritico,neutro
PlanoCritico,negativo
PlanoCritico,negativo
